New York,Borough,income_num_returns(households),avg income per return(x1000s)
10044,Manhattan,4360,101.28
11375,Queens,35810,99.45
11238,Brooklyn,31680,96.86
11360,Queens,10140,95.52
11101,Queens,20950,93.09
10464,Bronx,2180,91.17
11694,Queens,8920,90.59
10309,Staten Island,15270,90.04
10009,Manhattan,32690,87.21
11357,Queens,20170,86.47
