New York,Borough,income_num_returns(households),avg income per return(x1000s)
10007,Manhattan,3640,693.38
10065,Manhattan,15920,662.74
10021,Manhattan,23350,618.35
10022,Manhattan,20230,601.54
10075,Manhattan,14310,513.44
10013,Manhattan,15140,490.14
10017,Manhattan,12150,489.89
10028,Manhattan,25540,418.04
10023,Manhattan,34400,401.12
10024,Manhattan,30540,398.91
