,blank,objectid,seating_interest,restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude,nta
445,3697,3732,both,Pizzeria Sirenetta,568 Amsterdam LLC,Pizzeria Sirenetta,568,Amsterdam Avenue,Manhattan,10024,"568 Amsterdam Avenue, Manhattan, NY",06/22/2020,40.788677,-73.97430200000001,Upper West Side
446,3705,3740,both,Piccola cucina Uptown,M&G 60th LLC,M&G 60th LLC,106 East,60th street,Manhattan,10022,"106 East 60th street , Manhattan, NY",06/22/2020,40.763325,-73.968843,Upper East Side-Carnegie Hill
447,3706,3741,sidewalk,Asia Roma,"40 Mulberry Restaurant, Inc.",AR Restaurant,40,Mulberry Street,Manhattan,10013,"40 Mulberry Street, Manhattan, NY",06/22/2020,40.714838,-73.99961400000001,Chinatown
448,3728,3763,sidewalk,Udon West 46,"Sakaba, Inc.",Udon West,150,"East 46th Street, New York, NY 10017",Manhattan,10017,"150 East 46th Street, New York, NY 10017, Manhattan, NY",06/22/2020,40.753719,-73.973561,Turtle Bay-East Midtown
449,3734,3769,both,Land Thai Kitchen,Mee Tung LLC,Land Thai Kitchen,450,Amsterdam Ave,Manhattan,10024,"450 Amsterdam Ave, Manhattan, NY",06/22/2020,40.784859000000004,-73.977092,Upper West Side
450,3740,3775,both,Bagel works,Bagel Works INC,Bagel Works INC,1229,1st ave,Manhattan,10065,"1229  1st ave, Manhattan, NY",06/22/2020,40.764236,-73.958616,Lenox Hill-Roosevelt Island
451,3744,3779,both,PJ Clarke's at Lincoln Center,ERS Enterprises Inc,PJ Clarke's at Lincoln Center,44,W 63rd Street,Manhattan,10023,"44  W 63rd Street, Manhattan, NY",06/22/2020,40.771493,-73.982414,Lincoln Square
452,3748,3783,roadway,74 W Pizza Corp.,74 W Pizza Corp.,Patsys`s 74th,61,West 74th Street,Manhattan,10023,"61 West 74th Street, Manhattan, NY",06/22/2020,40.778231,-73.976632,Upper West Side
453,3753,3788,both,Taylor St All Day Cafe,"Taylor St Madison, LLC",Taylor St All Day Cafe,285,Madison Ave,Manhattan,10017,"285 Madison Ave, Manhattan, NY",06/22/2020,40.751756,-73.980037,Murray Hill-Kips Bay
454,3781,3817,both,ALLEVA DAIRY INC,ALLEVA DAIRY INC,ALLEVA DAIRY INC,188,GRAND STREET,Manhattan,10013,"188  GRAND STREET, Manhattan, NY",06/22/2020,40.719291999999996,-73.99717199999999,SoHo-TriBeCa-Civic Center-Little Italy
455,3800,3836,sidewalk,McDonald's,"BDC Restaurants, LLC McDonald's","BDC Restaurants, LLC McDonald's",167,Chambers St,Manhattan,10007,"167  Chambers St, Manhattan, NY",06/22/2020,40.716159999999995,-74.010627,SoHo-TriBeCa-Civic Center-Little Italy
456,3803,3839,roadway,Duane Park Patisserie,"Madeline's Patisserie, inc",Duane Park Patisserie,179,Duane St,Manhattan,10013,"179 Duane St, Manhattan, NY",06/22/2020,40.717406,-74.010137,SoHo-TriBeCa-Civic Center-Little Italy
457,3830,3866,both,5 Napkin Burger,Donizetti LLC,5 Napkin Burger,2315,Broadway,Manhattan,10024,"2315 Broadway, Manhattan, NY",06/22/2020,40.786902000000005,-73.97770799999999,Upper West Side
458,3833,3869,roadway,Italianissimo,Quattro Amiggi,Italianissimo,307,E 84th Street,Manhattan,10028,"307 E 84th Street, Manhattan, NY",06/22/2020,40.776379,-73.95224300000001,Yorkville
459,3834,3870,both,Playa Betty's,Cactus Pear LLC,Playa Betty's,320,Amsterdam Avenue,Manhattan,10023,"320 Amsterdam Avenue, Manhattan, NY",06/22/2020,40.780704,-73.980115,Upper West Side
460,3851,3887,sidewalk,5 Napkin Burger,Rossini LLC,5 Napkin Burger,1325,2nd Avenue,Manhattan,10021,"1325 2nd Avenue, Manhattan, NY",06/22/2020,40.767343,-73.95944399999999,Lenox Hill-Roosevelt Island
461,3866,3902,both,amelie wine bar,la petit amelie llc.,amelie,566,"amsterdam ave, business",Manhattan,10024,"566   amsterdam ave, business, Manhattan, NY",06/22/2020,40.788622,-73.97434200000001,Upper West Side
462,3877,3913,both,La Mela Ristorante,La Mela Ristorante Italiano Inc.,La Mela Ristorante Italiano Inc.,167-171,Mulberry Street,Manhattan,10013,"167-171 Mulberry Street, Manhattan, NY",06/22/2020,40.719918,-73.997078,SoHo-TriBeCa-Civic Center-Little Italy
463,3911,3947,both,Downtown Yogurt & Ice Cream,Downtown Yogurt NYC LLC,Downtown Yogurt & Ice Cream,303,Greenwich St,Manhattan,10013,"303 Greenwich St, Manhattan, NY",06/22/2020,40.716396,-74.01093399999999,SoHo-TriBeCa-Civic Center-Little Italy
464,3915,3951,both,Le Botaniste,"Botanicus Lexington, Inc.","Botanicus Lexington, Inc.",833,Lexington Avenue,Manhattan,10065,"833  Lexington Avenue , Manhattan, NY",06/22/2020,40.765094,-73.966081,Upper East Side-Carnegie Hill
