,blank,objectid,seating_interest,restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude,nta
423,6125,6165,both,Banh Mi zon,BMZEVLLC,Banh Mi Zon,443,east 6th st,Manhattan,10009,"443 east 6th st, Manhattan, NY",06/28/2020,40.725989,-73.985168,East Village
424,6158,6198,both,MisFits Nutrition,"MisFits Nutrition, LLC","MisFits Nutrition, LLC",115-14,QUEENS BLVD,Queens,11375,"115-14 QUEENS BLVD, Queens, NY",06/28/2020,40.716312,-73.833803,Forest Hills
425,6163,6203,roadway,The Wayland,"Eldridge Bistro, Inc","Eldridge Bistro, Inc",700,East 9th Street,Manhattan,10009,"700 East 9th Street, Manhattan, NY",06/28/2020,40.725224,-73.977848,Lower East Side
426,6164,6204,both,The Wayland,"Eldridge Bistro, Inc",The Wayland,700,East 9th Street,Manhattan,10009,"700  East 9th Street, Manhattan, NY",06/28/2020,40.725224,-73.977848,Lower East Side
427,6167,6207,sidewalk,Good Night Sonny,"Little Rebel, Inc",Good Night Sonny,134,1st Avenue,Manhattan,10009,"134 1st Avenue, Manhattan, NY",06/28/2020,40.727677,-73.985218,East Village
428,6171,6211,roadway,Hayaty,A.H 103 Corp,Hayaty,103,Ave A,Manhattan,10009,"103  Ave A, Manhattan, NY",06/28/2020,40.725796,-73.983736,East Village
429,6187,6227,both,Doha,Pa Chango,Doha,38-34,31st Street,Queens,11101,"38-34 31st Street, Queens, NY",06/29/2020,40.753362,-73.932379,Queensbridge-Ravenswood-Long Island City
430,6188,6228,both,Little Chef Little Cafe,D & S Cafe INC,Little Chef Little Cafe,543,48th Ave,Queens,11101,"543 48th Ave, Queens, NY",06/29/2020,40.744445,-73.95562199999999,Hunters Point-Sunnyside-West Maspeth
431,6208,6248,sidewalk,Keybar,GHD Inc.,Keybar,432,East 13th Street,Manhattan,10009,"432 East 13th Street, Manhattan, NY",06/29/2020,40.730295,-73.982237,East Village
432,6236,6276,sidewalk,CAVALI,CAVALI NY INC,CAVALI,36-21,STEINWAY ST.,Queens,11101,"36-21  STEINWAY ST., Queens, NY",06/29/2020,40.753242,-73.92367,Astoria
433,6278,6318,both,Caracas Arepa Bar,Caracas Restaurant LLC,Caracas Arepa Bar,91,E 7TH ST,Manhattan,10009,"91 E 7TH ST, Manhattan, NY",06/29/2020,40.726842,-73.98540200000001,East Village
434,6280,6320,both,Maiden Lane,Yardbird LLC,Maiden Lane,162,Avenue B,Manhattan,10009,"162  Avenue B, Manhattan, NY",06/29/2020,40.727066,-73.979774,East Village
435,6311,6351,both,M. Wells Steakhouse,M. Wells Crescent LLC,M. Wells,43-15,Crescent,Queens,11101,"43-15 Crescent, Queens, NY",06/29/2020,,,
436,6315,6355,both,Rockaway Brewing Company,Rockaway Brewing Company LLC,Rockaway Brewing Company LLC,4601,5th st,Queens,11101,"4601 5th st, Queens, NY",06/29/2020,40.747225,-73.95506800000001,Hunters Point-Sunnyside-West Maspeth
437,6323,6363,both,M. Wells Steakhouse,M. Wells Crescent LLC,M. Wells,43-15,Crescent Street,Queens,11101,"43-15 Crescent Street, Queens, NY",06/29/2020,40.748674,-73.942323,Hunters Point-Sunnyside-West Maspeth
438,6391,6432,sidewalk,PIATTO LIC,PIATTO LLC,PIATTO,18264,50th Avenue,Queens,11101,"1-50  50th Avenue, Queens, NY",06/29/2020,40.743642,-73.958878,Hunters Point-Sunnyside-West Maspeth
439,6393,6434,both,PIATTO LIC,PIATTO LLC,PIATTO LLC,18264,50TH AVE,Queens,11101,"1-50  50TH AVE, Queens, NY",06/29/2020,40.743642,-73.958878,Hunters Point-Sunnyside-West Maspeth
440,6419,6460,sidewalk,compadres 77,compadres 77,compadres 77,115-18,queens blvd,Queens,11375,"115-18 queens blvd, Queens, NY",06/29/2020,40.716304,-73.83379599999999,Forest Hills
441,6449,6483,sidewalk,Plum Tomatoes by La Sorrentina,420 B129 Corp,Plum Tomatoes by La Sorrentina,420,B129th street,Queens,11694,"420 B129th street, Queens, NY",06/30/2020,40.578373,-73.849374,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
442,6472,6514,both,Sunshine Co,780 Washington LLC,Sunshine Co,780,Wahington Ave,Brooklyn,11238,"780 Wahington Ave, Brooklyn, NY",06/30/2020,,,
443,6484,6526,both,Taste Creme,Skyview AM Inc.,Taste Creme,13-11,Jackson Avenue,Queens,11101,"13-11 Jackson Avenue , Queens, NY",06/30/2020,40.744289,-73.949285,Hunters Point-Sunnyside-West Maspeth
