,blank,objectid,seating_interest,restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude,nta
43,5258,5296,both,Bronx Drafthouse,Harlem Group DR Corp,Bronx Drafthouse,884,Gerard Ave,Bronx,10452,"884 Gerard Ave , Bronx, NY",06/25/2020,40.827932000000004,-73.924675,West Concourse
44,5271,5309,both,Bricks & Hops Beer Garden,Bruckner Garden Corp,Bricks & Hops Beer Garden,65,Bruckner Blvd,Bronx,10454,"65 Bruckner Blvd , Bronx, NY",06/25/2020,40.806391999999995,-73.926397,Mott Haven-Port Morris
45,5283,5321,both,614 MELROSE RESTAURANT CORP,614 MELROSE RESTAURANT CORP,PARRILLA LATINA STEAKHOUSE,614,MELROSE AVE,Bronx,10455,"614 MELROSE AVE, Bronx, NY",06/25/2020,40.817617999999996,-73.917057,Melrose South-Mott Haven North
46,5366,5405,sidewalk,LA FUENTE STEAK HOUSE CORP.,LA FUENTE STEAK HOUSE CORP.,LA FUENTE STEAK HOUSE CORP.,1306,JEROME AVENUE,Bronx,10456,"1306 JEROME AVENUE, Bronx, NY",06/25/2020,40.838267,-73.919134,West Concourse
47,5436,5476,sidewalk,Ceetay,Ceetay corp,Ceetay,129,Alexander Ave,Bronx,10454,"129 Alexander Ave , Bronx, NY",06/25/2020,40.80723,-73.92721999999999,Mott Haven-Port Morris
48,5454,5494,sidewalk,GOTA LOUNGE,KANITA LOUNGE CORP,KANITA LOUNGE CORP,136,EAST 174TH STREET,Bronx,10457,"136 EAST 174TH STREET , Bronx, NY",06/25/2020,40.844859,-73.909971,Mount Hope
49,5626,5666,both,EXITO BAR & LOUNGE CORP.,EXITO BAR & LOUNGE CORP.,EXITO CAFE,960,EAST 165TH STREET,Bronx,10459,"960 EAST 165TH STREET , Bronx, NY",06/26/2020,40.823937,-73.894723,Longwood
50,5708,5748,sidewalk,ADRIAN TROPICAL,ADRIAN TROPICAL,LOS AMIGOS,674,E 180TH STREET,Bronx,10457,"674  E 180TH STREET, Bronx, NY",06/26/2020,40.848406,-73.889411,East Tremont
51,5743,5783,sidewalk,LA LECHONERA CRIOLLA INC,LA LECHONERA CRIOLLA INC,TRAVIESO BUSINESS SERVICE,1709,WEBSTER AVE,Bronx,10457,"1709 WEBSTER AVE, Bronx, NY",06/26/2020,40.843404,-73.903363,Claremont-Bathgate
52,5819,5859,sidewalk,Hudson Smokehouse,Hudson Smokehouse Corp,Hudson Smokehous37e Corp,37,bruckner blvd,Bronx,10454,"37 bruckner blvd, Bronx, NY",06/26/2020,40.806978,-73.92779499999999,Mott Haven-Port Morris
