,Type,Name,2/18,2/19,2/20,2/21,2/22,2/23,2/24,2/25,2/26,2/27,2/28,2/29,3/1,3/2,3/3,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,3/12,3/13,3/14,3/15,3/16,3/17,3/18,3/19,3/20,3/21,3/22,3/23,3/24,3/25,3/26,3/27,3/28,3/29,3/30,3/31,4/1,4/2,4/3,4/4,4/5,4/6,4/7,4/8,4/9,4/10,4/11,4/12,4/13,4/14,4/15,4/16,4/17,4/18,4/19,4/20,4/21,4/22,4/23,4/24,4/25,4/26,4/27,4/28,4/29,4/30,5/1,5/2,5/3,5/4,5/5,5/6,5/7,5/8,5/9,5/10,5/11,5/12,5/13,5/14,5/15,5/16,5/17,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,5/27,5/28,5/29,5/30,5/31,6/1,6/2,6/3,6/4,6/5,6/6,6/7,6/8,6/9,6/10,6/11,6/12,6/13,6/14,6/15,6/16,6/17,6/18,6/19,6/20,6/21,6/22,6/23,6/24,6/25,6/26,6/27,6/28,6/29,6/30,7/1,7/2,7/3,7/4,7/5,7/6,7/7,7/8,7/9,7/10,7/11,7/12,7/13,7/14,7/15,7/16,7/17,7/18,7/19,7/20,7/21,7/22,7/23,7/24,7/25,7/26,7/27,7/28,7/29,7/30,7/31,8/1,8/2,8/3,8/4,8/5,8/6,8/7
37,state,New York,-1,11,1,-4,1,13,6,1,-1,-5,-2,-1,0,-7,-11,-9,-8,-14,-10,-2,-15,-27,-32,-49,-54,-36,-47,-58,-88,-100,-99.98,-99.96,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.98,-100.0,-100.0,-99.98,-99.97,-99.94,-99.95,-99.23,-99.36,-98.75,-99.11,-99.18,-98.64,-99.35,-99.66,-99.32,-98.79,-98.86,-99.24,-98.9,-98.88,-99.32,-99.33,-99.32,-98.94,-98.9,-98.41,-98.46,-99.14,-97.9,-95.58,-96.62,-92.77,-92.19,-94.19,-94.01,-92.5,-91.31,-89.98,-88.57,-88.34,-84.63,-91.01,-88.69,-86.63,-84.02,-79.53,-82.13,-82.95,-85.49,-83.41,-82.16,-68.58,-77.42,-85.08,-78.36,-84.51,-83.35,-83.03,-77.45,-87.07,-75.64,-73.75,-82.32,-80.24,-77.93,-75.93,-74.36,-70.47,-74.08,-81.29,-79.24,-83.12,-80.1,-74.16,-69.02,-73.38,-81.37,-79.69,-75.1,-75.57,-71.16,-67.11,-72.21,-79.46,-89.88,-73.82,-73.53,-71.51
88,city,New York,1,11,3,0,3,13,7,1,1,-2,1,-2,-2,-6,-12,-12,-9,-15,-10,-4,-18,-30,-36,-52,-61,-64,-69,-77,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.98,-100.0,-100.0,-99.98,-99.96,-99.96,-99.96,-99.19,-99.36,-98.63,-99.12,-99.51,-99.5,-99.72,-99.66,-99.25,-98.69,-98.78,-99.27,-99.22,-99.52,-99.31,-99.32,-99.33,-99.3,-99.62,-99.49,-99.43,-99.77,-99.45,-99.15,-99.17,-99.62,-99.59,-99.58,-99.65,-99.67,-99.59,-99.24,-99.72,-99.63,-99.77,-97.45,-96.53,-95.96,-94.93,-93.73,-94.84,-94.59,-95.19,-94.42,-94.28,-89.52,-93.94,-92.18,-92.6,-96.22,-94.24,-95.07,-91.97,-98.4,-91.95,-89.23,-93.34,-92.1,-91.84,-90.7,-90.15,-87.83,-89.73,-93.6,-92.03,-95.68,-93.64,-90.55,-86.35,-89.14,-92.77,-92.02,-90.65,-91.22,-88.58,-85.06,-88.23,-91.35,-96.99,-88.56,-88.47,-89.76
