restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude,income_level
GINO'S PIZZERIA RESTAURANT,NONNA ROSA PIZZA INC,GINO'S PIZZERIA RESTAURANT,345,E 83 ST,Manhattan,10028,"345 E 83 ST, Manhattan, NY",6/22/2020,40.77547,-73.952063,high_income
GINO'S PIZZERIA RESTAURANT,NONNA ROSA PIZZA INC,NONNA ROSA PIZZA INC,345,E 83 ST,Manhattan,10028,"345 E 83 ST, Manhattan, NY",6/22/2020,40.77547,-73.952063,high_income
GINO'S PIZZA,VCM HOSPITALITY GROUP INC,GINO'S PIZZA,345,E 83 ST,Manhattan,10028,"345 E 83 ST, Manhattan, NY",6/22/2020,40.77547,-73.952063,high_income
Meijin Ramen,Meijin Ramen Inc,Meijin Ramen,1574,2nd Avenue,Manhattan,10028,"1574 2nd Avenue, Manhattan, NY",6/22/2020,40.775043,-73.953796,high_income
La Crosta,436melbra inc,Lacrosta,436,eats 72 street,Manhattan,10021,"436 eats 72 street, Manhattan, NY",6/22/2020,,,high_income
Spice,Spice Corner 236 INC.,Spice,1479,1st Ave,Manhattan,10075,"1479  1st Ave, Manhattan, NY",6/22/2020,40.771123,-73.95359,high_income
LE BILBOQUET,LE BILBOQUET NY LLC,LE BILBOQUET,20,E 60 ST,Manhattan,10022,"20 E 60 ST, Manhattan, NY",6/22/2020,40.764102,-73.970709,high_income
CAFE BILBOQUET,26 EAST 60TH STREET HOSPITALITY LLC,CAFE BILBOQUET,26,E 60 ST,Manhattan,10022,"26 E 60 ST, Manhattan, NY",6/22/2020,40.764069,-73.97063,high_income
La Villetta,Jonilu llc,Jonilu llc,399,East 52 Street,Manhattan,10022,"399 East 52 Street, Manhattan, NY",6/22/2020,40.754988,-73.964887,high_income
Workshop,Noble Grains NYC LLC,Workshop,1415,2nd Avenue,Manhattan,10021,"1415  2nd Avenue, Manhattan, NY",6/22/2020,40.769931,-73.957554,high_income
Luna Rossa,347East85Partners LLC,347East85Partners LLC,347,347 East 85 Street 347 East 85 Street,Manhattan,10028,"347  347 East 85 Street 347 East 85 Street, Manhattan, NY",6/22/2020,,,high_income
La Mercerie,Center for Goods LLC,La Mercerie Restaurant,53,Howard,Manhattan,10013,"53 Howard, Manhattan, NY",6/22/2020,,,high_income
Tomiz,Tomiz Inc,Tomiz,18,E 41st Street,Manhattan,10017,"18 E 41st Street, Manhattan, NY",6/22/2020,40.752417,-73.980448,high_income
LE CHARLOT,THIERRY INC.,THIERRY INC.,19 EAST,69TH STREET,Manhattan,10021,"19 EAST  69TH STREET, Manhattan, NY",6/22/2020,40.769758,-73.966616,high_income
Buona notte,Buona notte inc,Buona notte,120,Mulberry st,Manhattan,10013,"120 Mulberry st, Manhattan, NY",6/22/2020,40.717785,-73.998149,high_income
Gotan,Gotan Tribeca LLC,Gotan,130,Franklin St,Manhattan,10013,"130  Franklin St, Manhattan, NY",6/22/2020,40.71913,-74.006861,high_income
Blooms Tavern,MMW Cafe LLC,Blooms Tavern,208,East 58th Street,Manhattan,10022,"208 East 58th Street , Manhattan, NY",6/22/2020,40.760689,-73.966505,high_income
Mrs An Thai,Mrs An Thai Inc,Mrs An Thai Inc,173,East 99th Street,Manhattan,10013,"173 East 99th Street, Manhattan, NY",6/22/2020,40.787488,-73.948764,high_income
"San Pietro Restaurant, Inc","San Pietro Restaurant, Inc",NONE,18,E 54TH ST,Manhattan,10022,"18 E 54TH ST, Manhattan, NY",6/22/2020,40.760711,-73.974609,high_income
Spice,357 Hospitality INC,Spice,435,Amsterdam Ave,Manhattan,10024,"435 Amsterdam Ave , Manhattan, NY",6/22/2020,40.784278,-73.977489,high_income
PIl pil Spanish tapas,Pil Pil spanish tapas inc,Pil Pil spanish tapas inc,265 east,78 street,Manhattan,10075,"265 east 78 street, Manhattan, NY",6/22/2020,40.773035,-73.956426,high_income
217 W85 LLC,217 W85 LLC,ELEA,217,W 85TH STREET,Manhattan,10024,"217 W 85TH STREET, Manhattan, NY",6/22/2020,40.787305,-73.976202,high_income
The Stumble Inn,"MBRP, Rest. Inc",The Stumble Inn,1454,2nd Ave,Manhattan,10021,"1454 2nd Ave, Manhattan, NY",6/22/2020,40.771289,-73.956539,high_income
TROQUET,ACT VENTURES LLC,ACT VENTURES LLC,155,GRAND STREET,Brooklyn,10013,"155 GRAND STREET, Brooklyn, NY",6/22/2020,40.714754,-73.961886,high_income
Nectar Restaurant Corp,Nectar Restaurant Corp,Nectar,1090,Madison Avenue,Manhattan,10028,"1090  Madison Avenue, Manhattan, NY",6/22/2020,40.778136,-73.960813,high_income
Beyond Sushi,BS1429 LLC,Beyond Sushi,1429,3rd Avenue,Manhattan,10028,"1429  3rd Avenue, Manhattan, NY",6/22/2020,40.77542,-73.956453,high_income
The Ship,Marie Adrienne LLC,The Ship,158,Lafayette Street,Manhattan,10013,"158 Lafayette Street, Manhattan, NY",6/22/2020,40.719773,-73.999325,high_income
Serena’s Wine Bar,1268 2nd Ave LLC,1268 2nd Ave LLC,301,1268 2nd ave,Manhattan,10065,"301 1268 2nd ave , Manhattan, NY",6/22/2020,,,high_income
FIVE MILE STONE,COLIEMORE INC,FIVE MILE STONE,1640,2ND AVE,Manhattan,10028,"1640 2ND AVE, Manhattan, NY",6/22/2020,40.777293,-73.952155,high_income
Juan Valdez Cafe,NFCGC Cafe LLC,NFCGC Cafe LLC,140,East 57 Street,Manhattan,10022,"140 East 57 Street, Manhattan, NY",6/22/2020,40.760792,-73.968826,high_income
TROQUET,ACT VENTURES LLC,TROQUET,155,GRAND STREET,Manhattan,10013,"155 GRAND STREET, Manhattan, NY",6/22/2020,40.719962,-73.998911,high_income
Crave Fishbar,Midtown Hospitality LLC,Crave Fishbar,945,2nd avenue,Manhattan,10022,"945 2nd avenue, Manhattan, NY",6/22/2020,40.755025,-73.968428,high_income
FIVE MILE STONE,COLIEMORE INC,FIVE MILE STONE,1640,2ND AVE,Manhattan,10028,"1640 2ND AVE, Manhattan, NY",6/22/2020,40.777293,-73.952155,high_income
Luna,Ristorante Luna INC,Luna Restaurant,115,Mulberry Street,Manhattan,10013,"115 Mulberry Street, Manhattan, NY",6/22/2020,40.717684,-73.998236,high_income
KKANDD of 79th Street Restaurant Corp,KKANDD of 79th Street Restaurant Corp,Nectar Cafe,1022,Madison Avenue,Manhattan,10075,"1022 Madison Avenue, Manhattan, NY",6/22/2020,40.776004,-73.962367,high_income
Harvest Kitchen,72nd & Columbus Restaurant LLC,72nd & Columbus Restaurant LLC,269,Columbus Ave,Manhattan,10023,"269  Columbus Ave, Manhattan, NY",6/22/2020,40.777778,-73.978517,high_income
GREEN 84 LLC,GREEN 84 LLC,GREEN KITCHEN,1619,2ND AVENUE,Brooklyn,10028,"1619 2ND AVENUE, Brooklyn, NY",6/22/2020,,,high_income
barbuto,barbuto,barbuto,113,Horatio Street,Manhattan,10024,"113 Horatio Street, Manhattan, NY",6/22/2020,40.73875,-74.009223,high_income
KKANDD of 79th Street Restaurant Corp,KKANDD of 79th Street Restaurant Corp,Nectar Cafe,20-22,East 79 Street,Manhattan,10075,"20-22  East 79 Street, Manhattan, NY",6/22/2020,40.776588,-73.962771,high_income
GREEN 84 LLC,GREEN 84 LLC,GREEN KITCHEN,1619,2ND AVE,Manhattan,10028,"1619 2ND AVE, Manhattan, NY",6/22/2020,40.776662,-73.952643,high_income
Gilligan's,Soho Grand Hotel Inc,Soho Grand Hotel Inc,310,west broadway,Manhattan,10013,"310 west broadway, Manhattan, NY",6/22/2020,40.721713,-74.004347,high_income
Stout Grand Central,"Stout III, Inc.",Stout Grand Central,60 east,41st street,Manhattan,10017,"60 east 41st street, Manhattan, NY",6/22/2020,40.75184,-73.979092,high_income
IL Mulino Uptown,Wonderful Restaurants LLC,IL Mulino Uptown,37,60th Street,Manhattan,10022,"37 60th Street, Manhattan, NY",6/22/2020,,,high_income
Soho Diner,320 West Broadway Diner Corp.,320 West Broadway Diner Corp.,320,west broadway,Manhattan,10013,"320 west broadway, Manhattan, NY",6/22/2020,40.721914,-74.004178,high_income
Zia Maria Little Italy,Zia Maria Little Italy inc.,Zia Maria Little Italy inc.,138,Mulberry,Manhattan,10013,"138 Mulberry, Manhattan, NY",6/22/2020,,,high_income
768 Mad Restaurant LLC,768 Mad Restaurant LLC,Bar Italia,768,Madison Avenue,Manhattan,10065,"768 Madison Avenue, Manhattan, NY",6/22/2020,40.767832,-73.968328,high_income
The Shadmoor,Shadmoor LLC,Shadmoor LLC,1066,2nd Ave,Manhattan,10022,"1066  2nd Ave , Manhattan, NY",6/22/2020,40.758729,-73.965701,high_income
Terminus Restaurant Associates LLC,Terminus Restaurant Associates LLC,Orsay,1057,Lexington Avenue,Manhattan,10021,"1057 Lexington Avenue, Manhattan, NY",6/22/2020,40.772465,-73.960705,high_income
Toad Hall,57 Grand Street Cafe Corp,57 Grand Street Cafe Corp,57,Grand,Manhattan,10013,"57 Grand, Manhattan, NY",6/22/2020,,,high_income
Restaurant Marc Forgione,FORGE Restaurant LLC,Restaurant Marc Forgione,134,Reade Street,Manhattan,10013,"134 Reade Street, Manhattan, NY",6/22/2020,40.716399,-74.00965,high_income
Gelso & Grand,161 Mulberry Restaurant LLC,161 Mulberry Restaurant LLC,161,Mulberry Street,Manhattan,10013,"161 Mulberry Street, Manhattan, NY",6/22/2020,40.719671,-73.997175,high_income
Brad's Burgers and BBQ,BarJer Corporation,Brad's Burgers and BBQ,522,Columbus Ave,Manhattan,10024,"522 Columbus Ave, Manhattan, NY",6/22/2020,40.785964,-73.972566,high_income
big nick's,Gyro 71 LLC,Gyro 71 LLC,70,west 71,Manhattan,10023,"70 west 71, Manhattan, NY",6/22/2020,,,high_income
Manero's Pizza,113 Mulberry Restaurant LLC,113 Mulberry Restaurant LLC,113,Mulberry,Manhattan,10013,"113 Mulberry , Manhattan, NY",6/22/2020,,,high_income
Good Enough to Eat,520 Columbus Ave LTD,Good Enough to Eat,520,Columbus Ave,Manhattan,10024,"520  Columbus Ave, Manhattan, NY",6/22/2020,40.785912,-73.972606,high_income
Cha Cha Matcha,"Cha Cha Beverages, LLC",Cha Cha Matcha,373,Broome Street,Manhattan,10013,"373  Broome Street , Manhattan, NY",6/22/2020,40.720256,-73.996237,high_income
Good Enough to Eat,520 Columbus Ave LTD,Good enough to Eat,520,Columbus Ave,Manhattan,10024,"520 Columbus Ave, Manhattan, NY",6/22/2020,40.785912,-73.972606,high_income
Cilantro Restaurant,Cilantro West LLC,Cilantro Restaurant,485,Columbus Ave,Manhattan,10024,"485  Columbus Ave, Manhattan, NY",6/22/2020,40.784776,-73.973412,high_income
La Nonna Restaurant,"ASC, INC",La Nonna,134,Mulberry St.,Manhattan,10013,"134 Mulberry St., Manhattan, NY",6/22/2020,40.718461,-73.997735,high_income
Mighty Quinn's Barbeque,Upper East BBQ LLC,Mighty Quinn's Barbeque,1492,2nd Ave.,Manhattan,10075,"1492 2nd Ave., Manhattan, NY",6/22/2020,40.772466,-73.955679,high_income
Mooncake Foods,"Mooncake Foods, Inc","Mooncake Foods,",112,6th Ave,Manhattan,10013,"112 6th Ave, Manhattan, NY",6/22/2020,40.723747,-74.004661,high_income
HUMMUS KITCHEN,THE NEW HK INC,HUMMUS KITCHEN,1613,2ND AVE,Manhattan,10028,"1613 2ND AVE, Manhattan, NY",6/22/2020,40.776357,-73.952867,high_income
AJISEN RAMEN,AJISEN NOODLE RESTAURANT INC.,AJISEN RAMEN,14,MOTT STREET,Manhattan,10013,"14 MOTT STREET, Manhattan, NY",6/22/2020,40.714096,-73.998719,high_income
The Alvin,Hatcoy LLC,Hatcoy LLC,406,E 64th street,Manhattan,10065,"406 E 64th street, Manhattan, NY",6/22/2020,40.7624,-73.958906,high_income
Tribeca's Kitchen,200 Tribeca Restaurant LLC,Tribeca's Kitchen,200,Church Street,Manhattan,10013,"200 Church Street, Manhattan, NY",6/22/2020,40.716243,-74.006915,high_income
M. M. Jombo's,M. M Jimbo's Inc,Jimbo's Hamburgers place,991,First Avenue,Manhattan,10022,"991 First Avenue, Manhattan, NY",6/22/2020,40.756626,-73.964161,high_income
Piccolo Cafe,Baby Oliver llc,Baby Oliver llc,313B,Amsterdam ave,Manhattan,10023,"313B  Amsterdam ave, Manhattan, NY",6/22/2020,40.780328,-73.980368,high_income
Lucciola,Lucciola llc,Lucciola,621,amsterdam ave,Manhattan,10024,"621 amsterdam ave, Manhattan, NY",6/22/2020,40.790384,-73.973034,high_income
Terroir Tribeca,Terroir Tribeca LLC,Terroir Tribeca LLC,24,Harrison Street,Manhattan,10013,"24 Harrison Street, Manhattan, NY",6/22/2020,40.718773,-74.010032,high_income
Maggies Place,Maggies Place inc,Maggies Place inc,21,East 47th st,Manhattan,10017,"21 East 47th st, Manhattan, NY",6/22/2020,40.756166,-73.977387,high_income
Papillon Bistro and Bar,22 East 54th st Restaurant Corp,Papillon Bistro and Bar,22,East 54th st,Manhattan,10022,"22 East 54th st , Manhattan, NY",6/22/2020,40.760653,-73.974476,high_income
Terminus Restaurant Associates LLC,Terminus Restaurant Associates LLC,Orsay,155,East 75 Street,Manhattan,10021,"155 East 75 Street, Manhattan, NY",6/22/2020,40.772144,-73.960214,high_income
The Mermaid Inn,Mermaid 88 LLC,The Mermaid Inn,570-572,Amsterdam Avenue,Manhattan,10024,"570-572  Amsterdam Avenue, Manhattan, NY",6/22/2020,40.788732,-73.974263,high_income
Sette mezzo,Genior inc,Genior inc,969,Lexington,Manhattan,10021,"969 Lexington, Manhattan, NY",6/22/2020,,,high_income
French Roast,Broadway Desserts,Broadway Desserts DBA French Roast,2340,Broadway,Manhattan,10024,"2340  Broadway, Manhattan, NY",6/22/2020,40.787686,-73.977022,high_income
McDonalds,"BDC RESTAURANTS, LLC","BDC RESTAURANTS, LLC",824,3rd ave,Manhattan,10022,"824 3rd ave, Manhattan, NY",6/22/2020,40.756068,-73.970597,high_income
Ethyl's alcohol and food,1629 2nd Restaurant LLC,Ethyl's alcohol and food,1629,2 Ave,Manhattan,10028,"1629 2 Ave, Manhattan, NY",6/22/2020,40.776909,-73.952463,high_income
Mel's Burger Bar,"Biltmore Garage Restaurant Associates, LLC",Mel's Burger Bar,1450,Second Ave,Manhattan,10021,"1450  Second Ave, Manhattan, NY",6/22/2020,40.771163,-73.956629,high_income
Graces Trattoria,DORIA ENT NYC LLC,GRACES MARKETPLACE,1299,SECOND AVE,Manhattan,10065,"1299  SECOND AVE, Manhattan, NY",6/22/2020,40.766339,-73.960174,high_income
American Whiskey NYC,B&D Again LLC,Distilled NY,211,W Broadway,Manhattan,10013,"211 W Broadway, Manhattan, NY",6/22/2020,40.718941,-74.006522,high_income
Pizzeria Sirenetta,568 Amsterdam LLC,Pizzeria Sirenetta,568,Amsterdam Avenue,Manhattan,10024,"568 Amsterdam Avenue, Manhattan, NY",6/22/2020,40.788677,-73.974302,high_income
Piccola cucina Uptown,M&G 60th LLC,M&G 60th LLC,106 East,60th street,Manhattan,10022,"106 East 60th street , Manhattan, NY",6/22/2020,40.763325,-73.968843,high_income
Asia Roma,"40 Mulberry Restaurant, Inc.",AR Restaurant,40,Mulberry Street,Manhattan,10013,"40 Mulberry Street, Manhattan, NY",6/22/2020,40.714838,-73.999614,high_income
Udon West 46,"Sakaba, Inc.",Udon West,150,"East 46th Street, New York, NY 10017",Manhattan,10017,"150 East 46th Street, New York, NY 10017, Manhattan, NY",6/22/2020,40.753719,-73.973561,high_income
Land Thai Kitchen,Mee Tung LLC,Land Thai Kitchen,450,Amsterdam Ave,Manhattan,10024,"450 Amsterdam Ave, Manhattan, NY",6/22/2020,40.784859,-73.977092,high_income
Bagel works,Bagel Works INC,Bagel Works INC,1229,1st ave,Manhattan,10065,"1229  1st ave, Manhattan, NY",6/22/2020,40.764236,-73.958616,high_income
PJ Clarke's at Lincoln Center,ERS Enterprises Inc,PJ Clarke's at Lincoln Center,44,W 63rd Street,Manhattan,10023,"44  W 63rd Street, Manhattan, NY",6/22/2020,40.771493,-73.982414,high_income
74 W Pizza Corp.,74 W Pizza Corp.,Patsys`s 74th,61,West 74th Street,Manhattan,10023,"61 West 74th Street, Manhattan, NY",6/22/2020,40.778231,-73.976632,high_income
Taylor St All Day Cafe,"Taylor St Madison, LLC",Taylor St All Day Cafe,285,Madison Ave,Manhattan,10017,"285 Madison Ave, Manhattan, NY",6/22/2020,40.751756,-73.980037,high_income
ALLEVA DAIRY INC,ALLEVA DAIRY INC,ALLEVA DAIRY INC,188,GRAND STREET,Manhattan,10013,"188  GRAND STREET, Manhattan, NY",6/22/2020,40.719292,-73.997172,high_income
McDonald's,"BDC Restaurants, LLC McDonald''s","BDC Restaurants, LLC McDonald''s",167,Chambers St,Manhattan,10007,"167  Chambers St, Manhattan, NY",6/22/2020,40.71616,-74.010627,high_income
Duane Park Patisserie,"Madeline''s Patisserie, inc",Duane Park Patisserie,179,Duane St,Manhattan,10013,"179 Duane St, Manhattan, NY",6/22/2020,40.717406,-74.010137,high_income
5 Napkin Burger,Donizetti LLC,5 Napkin Burger,2315,Broadway,Manhattan,10024,"2315 Broadway, Manhattan, NY",6/22/2020,40.786902,-73.977708,high_income
Italianissimo,Quattro Amiggi,Italianissimo,307,E 84th Street,Manhattan,10028,"307 E 84th Street, Manhattan, NY",6/22/2020,40.776379,-73.952243,high_income
Playa Betty's,Cactus Pear LLC,Playa Betty's,320,Amsterdam Avenue,Manhattan,10023,"320 Amsterdam Avenue, Manhattan, NY",6/22/2020,40.780704,-73.980115,high_income
5 Napkin Burger,Rossini LLC,5 Napkin Burger,1325,2nd Avenue,Manhattan,10021,"1325 2nd Avenue, Manhattan, NY",6/22/2020,40.767343,-73.959444,high_income
amelie wine bar,la petit amelie llc.,amelie,566,"amsterdam ave, business",Manhattan,10024,"566   amsterdam ave, business, Manhattan, NY",6/22/2020,40.788622,-73.974342,high_income
La Mela Ristorante,La Mela Ristorante Italiano Inc.,La Mela Ristorante Italiano Inc.,167-171,Mulberry Street,Manhattan,10013,"167-171 Mulberry Street, Manhattan, NY",6/22/2020,40.719918,-73.997078,high_income
Downtown Yogurt & Ice Cream,Downtown Yogurt NYC LLC,Downtown Yogurt & Ice Cream,303,Greenwich St,Manhattan,10013,"303 Greenwich St, Manhattan, NY",6/22/2020,40.716396,-74.010934,high_income
Le Botaniste,"Botanicus Lexington, Inc.","Botanicus Lexington, Inc.",833,Lexington Avenue,Manhattan,10065,"833  Lexington Avenue , Manhattan, NY",6/22/2020,40.765094,-73.966081,high_income
Bondurants,KEVRYN LLC,Bondurants,303,E 85TH STREET,Manhattan,10028,"303 E 85TH STREET, Manhattan, NY",6/22/2020,40.777037,-73.951845,high_income
McDonalds,"GREENWICH FOODS, LLC","GREENWICH FOODS, LLC",14 EAST,47TH STREET,Manhattan,10017,"14 EAST 47TH STREET, Manhattan, NY",6/22/2020,40.756289,-73.977719,high_income
Kung fu noodle inc,Kung fu noodle inc,Kung fu little steamed buns and reman,146,East 55th st,Manhattan,10022,"146  East 55th st, Manhattan, NY",6/22/2020,40.759406,-73.969581,high_income
Kungfu noodle inc,Kung fu noodle inc,Kung fu noodle inc,146,East 55th st,Manhattan,10022,"146  East 55th st , Manhattan, NY",6/22/2020,40.759406,-73.969581,high_income
The Leopard at des Artistes,GVR Hospitality LLC,The Leopard,1,West 67th street,Manhattan,10023,"1 West 67th street, Manhattan, NY",6/22/2020,40.773219,-73.978702,high_income
Lagada Corp,Lagada Corp,Ritz Diner,1133,First Avenue,Manhattan,10065,"1133 First Avenue, Manhattan, NY",6/22/2020,40.761582,-73.960538,high_income
Rangoli exquisite Indian cuisine,Chia food Corp,Chia food Corp,1393A,2 Ave,Manhattan,10021,"1393A  2 Ave , Manhattan, NY",6/22/2020,40.769264,-73.958035,high_income
JONES WOOD FOUNDRY,BLUE NUN RESTAURANT GROUP LLC,JONES WOOD FOUNDRY,401,East 76th Street,Manhattan,10021,"401 East 76th Street, Manhattan, NY",6/22/2020,40.770256,-73.953771,high_income
Hui Restaurant and Bar,The East River Delight Restaurant & Bar Inc,The East River Delight Restaurant & Bar Inc,314,East 70th St,Manhattan,10021,"314 East 70th St, Manhattan, NY",6/22/2020,40.767164,-73.958556,high_income
MAMO RESTAURANT,323 MM NYC LLC,MAMO RESTAURANT,323,W Broadway,Manhattan,10013,"323  W Broadway, Manhattan, NY",6/22/2020,40.721999,-74.00408,high_income
Tribeca Tavern,"Myrtle Food and Beverage, Inc.","Myrtle Food and Beverage, Inc.",15,6TH Avenue,Manhattan,10013,"15 6TH Avenue, Manhattan, NY",6/22/2020,40.719399,-74.005191,high_income
Swagat Indian Restaurant,Shree Laxmi Indian Restaurant,Swagat Indian Restaurant,411 A,Amsterdam Avw,Manhattan,10024,"411 A  Amsterdam Avw, Manhattan, NY",6/22/2020,,,high_income
Crave Fishbar UWS,"Upper West Hospitality, LLC",Crave Fishbar Upper West,428,Amsterdam,Manhattan,10024,"428 Amsterdam, Manhattan, NY",6/22/2020,,,high_income
TacoVision,"Turtle Bay Hospitality, LLC",TacoVision,244,East 53rd Street,Manhattan,10022,"244 East 53rd Street, Manhattan, NY",6/22/2020,40.757259,-73.968359,high_income
Lusardi's,LUMA REST. INC.,Lusardi's,1494,2nd Avenue,Manhattan,10075,"1494 2nd Avenue, Manhattan, NY",6/22/2020,40.772513,-73.955646,high_income
Arte Cafe,Westside Tomato Inc,Arte Cafe,106-114,W 73rd ST,Manhattan,10023,"106-114 W 73rd ST, Manhattan, NY",6/23/2020,40.778319,-73.978845,high_income
FINNEGAN'S WAKE,FDINNEGAN'S WAKE PUB LLC,FDINNEGAN'S WAKE,1361,1ST AVE,Manhattan,10021,"1361 1ST AVE, Manhattan, NY",6/23/2020,40.768585,-73.95544,high_income
Takahachi Tribeca Restaurant,Natsu Inc.,Natsu Inc.DBA Takahachi Tribeca restaurant,145,Duane Street,Manhattan,10013,"145 Duane Street, Manhattan, NY",6/23/2020,40.716432,-74.008016,high_income
FINNEGAN'S WAKE,FINNEGAN'S WAKE PUB LLC,FINNEGAN'S WAKE,1361,1ST AVE,Manhattan,10021,"1361 1ST AVE, Manhattan, NY",6/23/2020,40.768585,-73.95544,high_income
Wheeltapper Pub,Fitzpatrick Mgt North America and Hotel Grand Central LLC,Fitzpatrick Mgt North America and Hotel Grand Central LLC,141,East 44th,Manhattan,10017,"141 East 44th, Manhattan, NY",6/23/2020,,,high_income
FINNEGAN'S WAKE,FINNEGAN'S WAKE PUB LLC,FINNEGAN'S WAKE,1361,1ST AVE,Manhattan,10021,"1361  1ST AVE, Manhattan, NY",6/23/2020,40.768585,-73.95544,high_income
ELI'S ESSENTIALS,EAT LEXINGTON 87 LLC,ELI'S ESSENTIALS,1291,LEINGTON AVE,Manhattan,10028,"1291 LEINGTON AVE, Manhattan, NY",6/23/2020,,,high_income
ELI'S ESSENTIALS,EAT LEXINGTON 87 LLC,EAT LEXINGTON 87 LLC,1291,LEXINGTON AVE,Manhattan,10028,"1291  LEXINGTON AVE, Manhattan, NY",6/23/2020,40.780069,-73.955158,high_income
E.A.T.,E.A.T. IS OWNED BY ELI ZABAR INC,E.A.T.,1064,MADISON AVE,Manhattan,10028,"1064 MADISON AVE, Manhattan, NY",6/23/2020,40.777378,-73.961366,high_income
The Hideaway,Five Acorns LLC,The Hideaway,185,Duane Street,Manhattan,10013,"185 Duane Street, Manhattan, NY",6/23/2020,40.717423,-74.010259,high_income
Atera,"RBC Bar, Inc",Atera,77,Worth Street,Manhattan,10013,"77  Worth Street, Manhattan, NY",6/23/2020,40.716704,-74.005425,high_income
Agata & Valentina,J.A.V. Food Corp.,Agata & Valentina,1505,First Avenue,Manhattan,10075,"1505  First Avenue, Manhattan, NY",6/23/2020,40.772064,-73.952903,high_income
Perry Mallas,MVNBC CORP,BENVENUTO CAFE,369,GREENWICH STREET,Manhattan,10013,"369  GREENWICH STREET, Manhattan, NY",6/23/2020,40.719352,-74.010299,high_income
Breakroom,BM  Burgers & Tacos LLC,Breakroom,83,Baxter Street,Manhattan,10013,"83  Baxter Street, Manhattan, NY",6/23/2020,40.71672,-73.999812,high_income
Little Park,Tribeca Kitchen LLC,Little Park,85,W Broadway,Manhattan,10007,"85  W Broadway, Manhattan, NY",6/23/2020,40.715205,-74.009476,high_income
ELI'S ESSENTIALS,EAT LEXINGTON 87 LLC,EAT LEXINGTON 87 LLC,1291,LEXINGTON AVE,Manhattan,10028,"1291  LEXINGTON AVE, Manhattan, NY",6/23/2020,40.780069,-73.955158,high_income
Pil pil spanish tapas,Pil Pil spanish tapas inc,Pil Pil spanish tapas inc,265 east,78,Manhattan,10075,"265 east 78, Manhattan, NY",6/23/2020,,,high_income
JONES WOOD FOUNDRY,BLUE NUN RESTAURANT GROUP LLC,JONES WOOD FOUNDRY,401,East 76th Street,Manhattan,10021,"401 East 76th Street, Manhattan, NY",6/23/2020,40.770256,-73.953771,high_income
Farra,Wine Bar 71 Worth LLC,Farra,71,Worth Street,Manhattan,10013,"71  Worth Street, Manhattan, NY",6/23/2020,40.716816,-74.005664,high_income
north miznon,miznon USW LLC,North Miznon,161,west 72nd street,Manhattan,10023,"161  west 72nd street , Manhattan, NY",6/23/2020,40.778198,-73.980632,high_income
Eataly,Eataly NY FIDI LLC,Eataly NY FIDI LLC,101,liberty street,Manhattan,10007,"101  liberty street, Manhattan, NY",6/23/2020,40.709765,-74.011816,high_income
Sip Sak,SipSak Inc,SipSak Inc,928,2nd Ave,Manhattan,10022,"928  2nd Ave, Manhattan, NY",6/23/2020,40.754437,-73.968829,high_income
ELI'S ESSENTIALS,EAT THIRD 79 LLC,ELI'S ESSENTIALS,1390,3RD AVE,Manhattan,10075,"1390  3RD AVE, Manhattan, NY",6/23/2020,40.774391,-73.95723,high_income
Frenchette,White Walker LLC,Frenchette,241,West Broadway,Manhattan,10013,"241 West Broadway, Manhattan, NY",6/23/2020,40.719745,-74.005887,high_income
Uva,"By The Glass, Inc",Uva,1486,Second Avenue,Manhattan,10075,"1486  Second Avenue, Manhattan, NY",6/23/2020,40.772334,-73.955773,high_income
ELI'S ESSENTIALS,EAT THIRD 79 LLC,ELI'S ESSENTIALS,1390,3RD AVE,Manhattan,10075,"1390  3RD AVE, Manhattan, NY",6/23/2020,40.774391,-73.95723,high_income
Los Tacos No.1,LTN1 Church LLC,Los Tacos No.1,136,Church St.,Manhattan,10007,"136 Church St. , Manhattan, NY",6/23/2020,40.714217,-74.008513,high_income
Maya,Tonali Inc.,Maya,1191,1st Avenue,Manhattan,10065,"1191 1st Avenue, Manhattan, NY",6/23/2020,40.763059,-73.959479,high_income
Takahachi Bakery,Momiji Inc.,Momiji Inc. DBA Takahachi Bakery,25,Murray Street,Manhattan,10007,"25  Murray Street, Manhattan, NY",6/23/2020,40.713588,-74.008361,high_income
Petaluma Restaurant,1356 Restaurant LLC,Petaluma Restaurant,1356,First Ave,Manhattan,10021,"1356  First Ave, Manhattan, NY",6/23/2020,40.768187,-73.955707,high_income
Kirsh Bakery and Kitchen,Cherry House CO LLC,Kirsh Bakery and Kitchen,551,Amsterdam Ave,Manhattan,10024,"551 Amsterdam Ave, Manhattan, NY",6/23/2020,40.788067,-73.974725,high_income
Pick A Bagel,39 WEA Food Group Inc,Pick A Bagel,39,west end avenue,Manhattan,10023,"39 west end avenue, Manhattan, NY",6/23/2020,40.773223,-73.989295,high_income
Caffe Napoli,CAFFE SILVESTRI INC,Caffe Napoli,191,Hester Street,Manhattan,10013,"191  Hester Street, Manhattan, NY",6/23/2020,40.718123,-73.997803,high_income
Interlude Coffee & Tea,Noteworthy Coffee Inc.,Interlude Coffee & Tea,145,Hudson St.,Manhattan,10013,"145 Hudson St., Manhattan, NY",6/23/2020,40.721073,-74.008398,high_income
